Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
1.652213394,7:09:26 PM,2017,10,18,-8.338359,115.400171,-2031,2.593451809
1.979357362,7:15:51 PM,2017,10,18,-8.340266,115.396273,-2205,6.812573594
1.993925879,7:17:37 PM,2017,10,18,-8.337217,115.40577,-2257,5.193816422
2.48432681,7:18:15 PM,2017,10,18,-8.304726,115.41202,-8600,15.14072729
1.629806909,7:22:05 PM,2017,10,18,-8.273027,115.485929,-2816,3.308056965
2.138638021,7:25:10 PM,2017,10,18,-8.293292,115.446338,-11184,6.167559677
1.453894065,7:30:46 PM,2017,10,18,-8.27241,115.486572,-2560,3.420682361
1.713866583,7:32:03 PM,2017,10,18,-8.293508,115.479183,-9021,2.131275995
1.258034766,7:32:25 PM,2017,10,18,-8.338059,115.398682,-1953,2.241579692
1.859054146,7:33:21 PM,2017,10,18,-8.30747,115.400936,-6396,5.548501507
1.898752368,7:34:27 PM,2017,10,18,-8.316709,115.403776,-5912,5.941722764
1.90026785,7:35:57 PM,2017,10,18,-8.29997,115.419401,-10429,3.435305736
1.681461907,7:36:29 PM,2017,10,18,-8.282638,115.496769,-707,2.969015086
1.82722938,7:39:46 PM,2017,10,18,-8.330068,115.401619,-3626,2.980432044
1.839017993,7:40:41 PM,2017,10,18,-8.326922,115.402035,-4693,4.28328486
1.777983507,7:43:36 PM,2017,10,18,-8.312014,115.400863,-6474,2.990143928
1.689919126,7:44:36 PM,2017,10,18,-8.328903,115.399463,-4121,5.060040437
1.491159025,7:45:57 PM,2017,10,18,-8.337826,115.399731,-2252,2.270712114
1.580869839,7:47:15 PM,2017,10,18,-8.301646,115.415047,-10631,2.294088805
2.07873205,7:49:07 PM,2017,10,18,-8.282921,115.493066,-817,8.360480478
1.795756645,7:49:29 PM,2017,10,18,-8.294739,115.437557,-10163,3.368724423
1.550489653,7:51:07 PM,2017,10,18,-8.337489,115.398991,-2170,3.105203584
2.022865742,7:52:36 PM,2017,10,18,-8.279542,115.475179,-3832,11.21537223
1.952014476,7:53:57 PM,2017,10,18,-8.329588,115.399854,-4258,5.492080194
1.879497175,7:54:49 PM,2017,10,18,-8.305551,115.424032,-8300,3.926422485
1.498356608,7:55:47 PM,2017,10,18,-8.299174,115.458447,-9837,2.35626018
1.959182638,7:57:54 PM,2017,10,18,-8.337349,115.405396,-2081,13.89298681
1.678483541,8:03:24 PM,2017,10,18,-8.300006,115.404028,-5710,3.252117632
1.87791455,8:10:51 PM,2017,10,18,-8.281407,115.461499,-5940,4.495825853
1.698576863,8:11:56 PM,2017,10,18,-8.318596,115.452767,-9443,2.858868318
1.520683519,8:13:29 PM,2017,10,18,-8.311208,115.397795,-5209,2.709723718
1.610477115,8:13:54 PM,2017,10,18,-8.296203,115.475798,-9954,5.547958112
1.98834298,8:15:09 PM,2017,10,18,-8.299343,115.424634,-10697,2.824292727
2.001621969,8:15:50 PM,2017,10,18,-8.308257,115.467554,-9413,5.803296805
2.446566721,8:17:15 PM,2017,10,18,-8.307734,115.413005,-6572,44.95910595
1.552463893,8:22:29 PM,2017,10,18,-8.283038,115.466992,-2700,3.005458904
2.081733748,8:23:26 PM,2017,10,18,-8.341301,115.397257,-2067,7.87070617
1.654502999,8:24:49 PM,2017,10,18,-8.327951,115.402612,-4144,2.692721823
1.993858556,8:25:21 PM,2017,10,18,-8.330163,115.402694,-3830,7.784459864
2.926472745,8:28:58 PM,2017,10,18,-8.320462,115.400366,-5193,179.369579
1.394554087,8:33:08 PM,2017,10,18,-8.284693,115.493197,-665,2.810968381
2.05276474,8:35:56 PM,2017,10,18,-8.305263,115.408504,-8497,7.811853837
1.574640591,8:36:21 PM,2017,10,18,-8.300296,115.416154,-9239,2.131146713
1.723708359,8:39:36 PM,2017,10,18,-8.318142,115.400749,-5432,2.297045156
1.495202055,8:40:27 PM,2017,10,18,-8.306426,115.402205,-7241,3.029079375
1.910117493,8:41:05 PM,2017,10,18,-8.28407,115.489266,-831,7.795884587
1.720807413,8:41:25 PM,2017,10,18,-8.282676,115.474642,-2770,2.727921095
1.41019601,8:43:03 PM,2017,10,18,-8.28551,115.492269,-1074,2.598765971
1.895593504,8:44:57 PM,2017,10,18,-8.326464,115.403296,-4554,6.085647266
1.847686142,8:45:49 PM,2017,10,18,-8.327584,115.40131,-4186,4.167802215
2.110351946,8:47:28 PM,2017,10,18,-8.30181,115.437826,-7816,4.900813487
2.080076762,8:49:41 PM,2017,10,18,-8.307481,115.461483,-10980,10.38494299
1.732657655,8:51:24 PM,2017,10,18,-8.32684,115.404932,-4056,3.334146535
1.617276198,8:52:42 PM,2017,10,18,-8.325721,115.404451,-4653,5.50384835
1.779307551,8:54:13 PM,2017,10,18,-8.304602,115.423454,-8783,5.513831159
1.988934746,8:55:40 PM,2017,10,18,-8.308267,115.447599,-9675,8.541015519
1.697171939,8:57:01 PM,2017,10,18,-8.327088,115.403914,-4686,2.692181286
